,Rank,Previous Rank,Name,Country/Territory,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,IRN SCORE,IRN RANK,SUS SCORE,SUS RANK,Overall SCORE
1091,1001-1200,1001-1200,Slovak University of Technology in Bratislava,Slovakia,VH,Public,10.8,701+,10.6,701+,48.9,396,7.7,801+,4.8,801+,29.1,602,54.2,779,28.1,801+,-
1092,1001-1200,1001-1200,Soonchunhyang University,Republic of Korea,VH,Private not for Profit,7.7,701+,9.1,701+,70.9,219,10.1,801+,7.5,801+,7.3,801+,12.8,801+,45.2,801+,-
1093,1001-1200,951-1000,Southern Federal University,Russian Federation,VH,Public,7.0,701+,7.5,701+,65.4,266,3.5,801+,4.9,801+,42.3,470,43.6,801+,31.4,801+,-
1094,1001-1200,1001-1200,Southern Methodist University,United States of America,VH,Private not for Profit,6.4,701+,10.9,701+,37.6,537,11.9,801+,15.8,782,16.3,792,28.8,801+,41.9,801+,-
1095,1001-1200,1001-1200,Southwest University,China (Mainland),VH,Public,3.2,701+,3.5,701+,12.0,801+,45.1,414,1.5,801+,5.3,801+,51.4,801+,37.9,801+,-
1096,1001-1200,1001-1200,SRM Institute of Science and Technology (f.k.a SRM University),India,VH,Private not for Profit,14.1,701+,21.8,606,17.1,801+,8.6,801+,1.7,801+,2.6,801+,75.1,441,49.2,729=,-
1097,1001-1200,,Sumgait State University,Azerbaijan,MD,Public,14.1,701+,12.6,701+,97.9,58,1.1,801+,2.6,801+,1.4,801+,1.8,801+,,,-
1098,1001-1200,1001-1200,Sumy State University,Ukraine,HI,Public,6.3,701+,11.0,701+,47.1,418,5.2,801+,3.9,801+,29.1,603,35.5,801+,48.2,751=,-
1099,1001-1200,1001-1200,Sungshin Women's University,Republic of Korea,MD,Private not for Profit,9.1,701+,13.4,701+,85.0,135,1.5,801+,3.7,801+,6.6,801+,2.7,801+,28.5,801+,-
1100,1001-1200,1001-1200,Széchenyi István University,Hungary,VH,Private for Profit,12.2,701+,36.6,391,28.9,655,2.9,801+,4.9,801+,13.4,801+,16.5,801+,44.9,801+,-
1101,1001-1200,,Tashkent State University of Economics,Uzbekistan,MD,Public,15.7,701+,31.4,455,14.0,801+,1.5,801+,19.2,726,11.3,801+,13.5,801+,36.7,801+,-
1102,1001-1200,1001-1200,Technical University of Kosice,Slovakia,VH,Public,8.2,701+,13.8,701+,21.4,801+,10.3,801+,1.8,801+,89.6,169,40.5,801+,21.9,801+,-
1103,1001-1200,1001-1200,Technical University of Ostrava,Czechia,VH,Public,7.7,701+,21.5,614,28.9,653,10.3,801+,15.2,801+,41.1,482,56.9,738,46.5,801+,-
1104,1001-1200,1001-1200,Telkom University (aka Telkom Institute of Technology),Indonesia,VH,Private for Profit,13.6,701+,14.7,701+,23.3,768,2.5,801+,53.5,423,12.1,801+,15.5,801+,36.3,801+,-
1105,1001-1200,1201-1400,The City College of New York,United States of America,HI,Public,11.8,701+,8.0,701+,15.0,801+,17.8,756,5.0,801+,8.6,801+,46.7,801+,39.0,801+,-
1106,1001-1200,1001-1200,"The Federal University of Sao Carlos, UFSCar",Brazil,VH,Public,15.0,701+,10.8,701+,20.3,801+,28.8,597,3.4,801+,2.5,801+,47.1,801+,41.3,801+,-
1107,1001-1200,1001-1200,The Hashemite University,Jordan,HI,Public,15.6,701+,23.7,566,5.5,801+,7.8,801+,9.9,801+,18.4,756,45.1,801+,45.4,801+,-
1108,1001-1200,1001-1200,Tokyo Metropolitan University,Japan,VH,Public,17.5,701+,8.2,701+,41.9,483,14.8,801+,9.7,801+,8.0,801+,39.5,801+,26.4,801+,-
1109,1001-1200,1001-1200,Universidad Andrés Bello - UNAB,Chile,HI,Private not for Profit,19.5,633,16.4,701+,11.1,801+,3.9,801+,9.6,801+,3.8,801+,60.9,680,56.9,559,-
1110,1001-1200,,Universidad Argentina de la Empresa -UADE,Argentina,MD,Private not for Profit,6.4,701+,17.3,701+,98.1,55,1.0,801+,2.7,801+,9.9,801+,1.3,801+,,,-
1111,1001-1200,1001-1200,Universidad Austral de Chile,Chile,HI,Private not for Profit,19.3,638,15.4,701+,4.1,801+,14.3,801+,20.5,703,2.5,801+,45.8,801+,44.0,801+,-
1112,1001-1200,1001-1200,Universidad de Castilla-La Mancha,Spain,VH,Public,10.7,701+,4.7,701+,22.0,791,17.9,754,2.7,801+,9.7,801+,70.4,521,46.9,793=,-
1113,1001-1200,1001-1200,Universidad de Guadalajara (UDG),Mexico,HI,Public,26.5,475,12.5,701+,21.3,801+,1.6,801+,2.8,801+,1.3,801+,45.1,801+,55.2,601,-
1114,1001-1200,1001-1200,Universidad de las Américas Puebla (UDLAP),Mexico,MD,Private not for Profit,11.7,701+,13.1,701+,56.0,332,3.4,801+,21.9,689,15.7,801+,6.9,801+,18.6,801+,-
1115,1001-1200,951-1000,Universidad de León,Spain,VH,,10.4,701+,7.1,701+,52.1,361,9.6,801+,3.7,801+,20.6,722,46.6,801+,60.7,494=,-
1116,1001-1200,1001-1200,Universidad de Puerto Rico,Puerto Rico,HI,Public,14.8,701+,10.8,701+,23.0,776,3.5,801+,8.3,801+,2.1,801+,43.4,801+,37.7,801+,-
1117,1001-1200,951-1000,Universidad de San Andrés,Argentina,HI,Private not for Profit,11.7,701+,25.2,535,53.0,354,4.1,801+,10.2,801+,7.6,801+,11.7,801+,,,-
1118,1001-1200,1001-1200,Universidad de Talca,Chile,VH,Public,14.4,701+,11.7,701+,9.1,801+,13.2,801+,27.4,619,1.9,801+,46.4,801+,29.4,801+,-
1119,1001-1200,1001-1200,Universidad del Valle,Colombia,MD,Public,24.1,529,9.7,701+,11.1,801+,2.8,801+,3.3,801+,2.2,801+,24.7,801+,34.9,801+,-
1120,1001-1200,1001-1200,Universidad Diego Portales,Chile,VH,Private not for Profit,19.0,647,25.8,526,11.9,801+,5.5,801+,17.5,758,6.3,801+,37.1,801+,36.4,801+,-
1121,1001-1200,1001-1200,Universidad ICESI,Colombia,HI,Private not for Profit,7.8,701+,8.8,701+,87.6,114,2.4,801+,5.1,801+,5.2,801+,7.4,801+,15.9,801+,-
1122,1001-1200,951-1000,Universidad Nacional de Rosario,Argentina,MD,Public,27.4,457,14.9,701+,29.9,635,1.4,801+,,,10.8,801+,27.0,801+,18.8,801+,-
1123,1001-1200,851-900,Universidad ORT Uruguay,Uruguay,MD,Private not for Profit,13.2,701+,22.2,598,84.2,145,1.4,801+,17.1,765,2.9,801+,3.6,801+,7.4,801+,-
1124,1001-1200,1001-1200,Universidad Peruana Cayetano Heredia,Peru,VH,Private not for Profit,15.2,701+,12.1,701+,59.1,305,3.6,801+,1.6,801+,1.8,801+,23.9,801+,53.2,641=,-
1125,1001-1200,901-950,Universidad Pontificia Bolivariana,Colombia,VH,Private not for Profit,10.7,701+,12.7,701+,83.9,146,2.8,801+,4.8,801+,4.5,801+,17.7,801+,28.5,801+,-
1126,1001-1200,1001-1200,Universidad Rey Juan Carlos,Spain,VH,Public,12.5,701+,16.9,701+,11.5,801+,9.4,801+,24.2,660,20.3,727,65.3,619,64.0,422=,-
1127,1001-1200,1001-1200,Universidad Simón Bolívar Venezuela,Venezuela (Bolivarian Republic of),VH,Public,19.5,632,22.6,584,23.5,762,3.8,801+,2.1,801+,1.1,801+,11.6,801+,11.6,801+,-
1128,1001-1200,951-1000,Universidad Técnica Federico Santa María,Chile,VH,Private not for Profit,13.3,701+,37.5,374,4.7,801+,8.3,801+,19.0,728,1.8,801+,46.3,801+,42.7,801+,-
1129,1001-1200,1001-1200,Universidade da Coruña,Spain,VH,Public,8.5,701+,7.1,701+,29.3,645,13.8,801+,3.5,801+,9.4,801+,61.7,667,61.1,477=,-
1130,1001-1200,1001-1200,Universidade Federal do Paraná (UFPR),Brazil,VH,Public,19.4,637,8.7,701+,25.7,722,9.8,801+,3.9,801+,11.2,801+,55.4,762,40.0,801+,-
1131,1001-1200,1001-1200,"Universita' degli Studi di Napoli ""Parthenope""",Italy,VH,Public,5.6,701+,3.4,701+,4.2,801+,47.2,401,2.0,801+,4.2,801+,33.3,801+,41.2,801+,-
1132,1001-1200,1001-1200,Università degli Studi di Udine,Italy,VH,Public,9.5,701+,4.8,701+,15.2,801+,23.9,657,5.7,801+,8.2,801+,52.1,801+,42.8,801+,-
1133,1001-1200,1001-1200,"Universita degli Studi ""G. D'Annunzio"" Chieti-Pescara",Italy,VH,Public,4.9,701+,3.0,701+,4.6,801+,45.9,407,5.1,801+,5.1,801+,60.3,688,29.6,801+,-
1134,1001-1200,1201-1400,Universitas Sumatera Utara,Indonesia,HI,Public,14.4,701+,13.4,701+,38.0,532,1.8,801+,14.1,801+,2.6,801+,28.6,801+,46.0,801+,-
1135,1001-1200,1001-1200,Universität Bielefeld,Germany,VH,Public,19.9,620,7.5,701+,16.1,801+,8.8,801+,25.9,636,16.3,794,68.9,548,44.1,801+,-
1136,1001-1200,1001-1200,Universitat de Lleida,Spain,VH,,7.4,701+,3.7,701+,27.5,690,21.5,691,7.3,801+,16.2,795,56.4,747,59.1,519,-
1137,1001-1200,,Universitat Jaume I,Spain,VH,Public,7.7,701+,3.3,701+,20.8,801+,28.4,601,4.8,801+,24.1,671,51.1,801+,59.6,509=,-
1138,1001-1200,,Université de Bretagne Occidentale (UBO),France,VH,,6.2,701+,5.4,701+,32.1,600,25.2,634,,,,,82.7,297,47.2,783=,-
1139,1001-1200,1001-1200,Université de Sfax,Tunisia,VH,Public,11.4,701+,4.2,701+,56.3,330,6.1,801+,1.1,801+,5.6,801+,58.9,708,49.6,711=,-
1140,1001-1200,1001-1200,Université Lumière Lyon 2,France,VH,Public,14.3,701+,5.6,701+,5.6,801+,11.8,801+,33.5,548,48.8,415,62.5,658,31.9,801+,-
1141,1001-1200,901-950,Université Paris 2 Panthéon-Assas,France,VH,Public,8.5,701+,8.2,701+,63.1,280,1.4,801+,15.8,785,38.6,510,6.1,801+,17.0,801+,-
1142,1001-1200,951-1000,Université Sorbonne Paris Nord,France,VH,,14.0,701+,7.9,701+,6.0,801+,37.6,496,,,,,57.2,729,33.5,801+,-
1143,1001-1200,951-1000,"Université Toulouse 1, Capitole",France,VH,Public,18.3,667,8.7,701+,2.2,801+,10.1,801+,32.1,562,63.0,320,52.2,801+,33.0,801+,-
1144,1001-1200,1201-1400,Universiti Malaysia Perlis (UniMAP),Malaysia,VH,Public,10.7,701+,9.1,701+,29.8,636,13.7,801+,1.8,801+,4.9,801+,47.9,801+,43.1,801+,-
1145,1001-1200,1001-1200,Universiti Malaysia Sarawak (UNIMAS),Malaysia,HI,Public,20.1,612,14.4,701+,17.3,801+,6.8,801+,43.9,472,19.7,732,35.9,801+,42.6,801+,-
1146,1001-1200,1001-1200,Universiti Tun Hussein Onn University of Malaysia (UTHM),Malaysia,VH,Public,14.5,701+,12.2,701+,11.7,801+,18.6,744,6.8,801+,12.0,801+,45.8,801+,49.7,708=,-
1147,1001-1200,901-950,"University of Alabama, Birmingham",United States of America,VH,Public,7.3,701+,4.6,701+,62.6,283,24.1,653,,,,,57.2,732,35.6,801+,-
1148,1001-1200,,University of Anbar,Iraq,HI,Public,25.3,507,15.4,701+,27.2,695,3.0,801+,3.5,801+,1.8,801+,25.9,801+,31.7,801+,-
1149,1001-1200,1001-1200,University of Arkansas Fayetteville,United States of America,VH,Public,8.4,701+,7.4,701+,7.8,801+,19.0,732,9.2,801+,4.4,801+,67.8,570,45.1,801+,-
1150,1001-1200,,University of Balamand,Lebanon,HI,Private not for Profit,8.0,701+,21.2,622,49.8,386,3.6,801+,20.5,704,26.9,633,14.4,801+,33.6,801+,-
1151,1001-1200,951-1000,University of Central Lancashire,United Kingdom,HI,Public,6.5,701+,9.3,701+,12.4,801+,7.1,801+,43.2,476,78.4,234,56.9,739,35.5,801+,-
1152,1001-1200,951-1000,University of Colombo,Sri Lanka,HI,Public,15.1,701+,20.9,626,3.3,801+,6.1,801+,1.2,801+,1.5,801+,20.7,801+,61.1,477=,-
1153,1001-1200,951-1000,University of Denver,United States of America,VH,Private not for Profit,7.8,701+,12.2,701+,43.6,458,12.7,801+,6.0,801+,14.2,801+,31.8,801+,49.5,715=,-
1154,1001-1200,1001-1200,University of Deusto,Spain,VH,,8.9,701+,29.8,477,7.4,801+,14.3,801+,8.8,801+,29.9,592,29.1,801+,31.6,801+,-
1155,1001-1200,901-950,University of East London,United Kingdom,HI,Public,3.9,701+,6.5,701+,2.6,801+,9.5,801+,83.3,268,99.8,46,34.5,801+,29.5,801+,-
1156,1001-1200,1001-1200,University of Hradec Kralove,Czechia,VH,Public,5.8,701+,6.9,701+,24.8,739,13.3,801+,60.2,388,6.2,801+,49.4,801+,23.0,801+,-
1157,1001-1200,1001-1200,University of Ibadan,Nigeria,VH,,11.6,701+,16.6,701+,6.4,801+,7.3,801+,,,,,64.8,624,41.9,801+,-
1158,1001-1200,1001-1200,University of Idaho,United States of America,VH,Public,3.5,701+,1.6,701+,15.4,801+,36.9,504,8.6,801+,12.2,801+,32.0,801+,41.7,801+,-
1159,1001-1200,1001-1200,University of Ioannina,Greece,HI,,9.4,701+,5.6,701+,1.9,801+,32.0,562,2.0,801+,7.5,801+,55.7,757,36.5,801+,-
1160,1001-1200,,University of Isfahan,Iran (Islamic Republic of),VH,Public,7.7,701+,10.7,701+,4.9,801+,30.7,579,,,2.5,801+,52.8,798,27.7,801+,-
1161,1001-1200,1001-1200,University of Karachi,Pakistan,HI,Public,14.5,701+,19.2,676,2.0,801+,10.4,801+,4.7,801+,1.2,801+,48.4,801+,31.3,801+,-
1162,1001-1200,1001-1200,University of Lagos,Nigeria,HI,,9.4,701+,16.5,701+,2.5,801+,5.2,801+,,,,,45.9,801+,36.6,801+,-
1163,1001-1200,1001-1200,University of Louisville,United States of America,HI,Public,3.9,701+,4.2,701+,43.8,454,13.3,801+,21.8,691,5.9,801+,59.6,700,39.5,801+,-
1164,1001-1200,1001-1200,University of Malaysia Sabah (UMS),Malaysia,HI,Public,22.0,565,15.7,701+,15.1,801+,6.2,801+,23.9,663,12.4,801+,33.2,801+,48.1,757=,-
1165,1001-1200,851-900,University of Mississippi,United States of America,VH,Public,4.6,701+,3.2,701+,78.0,177,12.0,801+,5.2,801+,5.1,801+,47.6,801+,35.9,801+,-
1166,1001-1200,1001-1200,"University of Missouri, Kansas City",United States of America,VH,Public,5.1,701+,9.5,701+,21.9,795,25.7,627,6.9,801+,31.3,574,26.4,801+,30.8,801+,-
1167,1001-1200,901-950,University of Murcia,Spain,VH,Public,15.3,701+,5.4,701+,24.9,735,14.9,801+,,,7.0,801+,77.9,385,64.4,413=,-
1168,1001-1200,901-950,University of Nairobi,Kenya,HI,Public,12.8,701+,13.7,701+,25.7,723,2.6,801+,,,,,48.7,801+,39.1,801+,-
1169,1001-1200,,University of Nevada - Reno,United States of America,HI,Public,6.4,701+,6.5,701+,24.2,748,24.4,648,23.4,672,4.1,801+,62.9,652,48.1,757=,-
1170,1001-1200,1001-1200,University of New England,Australia,VH,Public,12.5,701+,9.6,701+,8.2,801+,16.0,785,6.3,801+,6.1,801+,67.3,582,50.9,684=,-
1171,1001-1200,1001-1200,University of New Hampshire,United States of America,VH,Public,6.0,701+,9.1,701+,17.7,801+,24.8,644,11.7,801+,4.9,801+,32.4,801+,47.1,785=,-
1172,1001-1200,1001-1200,University of North Carolina at Charlotte,United States of America,VH,Public,6.7,701+,7.0,701+,7.7,801+,19.6,718,15.5,795,13.7,801+,66.4,598,43.9,801+,-
1173,1001-1200,951-1000,University of Parma,Italy,HI,Public,13.6,701+,5.8,701+,4.5,801+,33.0,551,5.2,801+,16.8,784,63.0,651,37.0,801+,-
1174,1001-1200,951-1000,University of Regina,Canada,HI,Public,4.7,701+,2.9,701+,5.7,801+,34.3,532,4.0,801+,51.2,400,48.5,801+,64.2,417=,-
1175,1001-1200,1001-1200,University of Rhode Island,United States of America,VH,Public,7.2,701+,5.7,701+,8.7,801+,26.5,619,7.8,801+,4.3,801+,53.2,793,68.0,351=,-
1176,1001-1200,1001-1200,University of Salento,Italy,VH,Public,6.8,701+,1.9,701+,8.2,801+,41.5,454,1.5,801+,4.5,801+,71.9,501,31.9,801+,-
1177,1001-1200,951-1000,University of South Bohemia,Czechia,VH,Public,7.1,701+,5.8,701+,53.7,350,12.5,801+,27.7,618,19.8,730,57.2,731,47.0,789=,-
1178,1001-1200,1001-1200,University of Tabuk,Saudi Arabia,HI,Public,8.8,701+,3.5,701+,27.3,693,6.7,801+,93.7,197,5.5,801+,42.7,801+,34.7,801+,-
1179,1001-1200,1001-1200,University of Texas Arlington,United States of America,VH,Public,7.0,701+,9.2,701+,6.6,801+,16.4,776,12.7,801+,39.7,492,57.7,722,64.5,409=,-
1180,1001-1200,1001-1200,University of Texas at San Antonio,United States of America,HI,Public,6.7,701+,6.0,701+,5.8,801+,30.6,581,14.1,801+,4.6,801+,59.9,694,44.5,801+,-
1181,1001-1200,,University of the Algarve,Portugal,VH,,7.2,701+,3.2,701+,13.6,801+,28.3,604,6.6,801+,53.0,388,66.3,604,45.0,801+,-
1182,1001-1200,1001-1200,University of the Free State,South Africa,VH,Public,7.2,701+,12.1,701+,4.9,801+,13.8,801+,,,8.3,801+,93.7,107,41.7,801+,-
1183,1001-1200,1001-1200,University of Toledo,United States of America,HI,Public,4.2,701+,4.5,701+,13.8,801+,28.8,598,7.7,801+,21.6,702,45.4,801+,39.9,801+,-
1184,1001-1200,1001-1200,University of Tulsa,United States of America,VH,Private not for Profit,2.8,701+,5.3,701+,49.8,387,15.1,801+,20.7,699,39.7,493,22.2,801+,46.7,799=,-
1185,1001-1200,1001-1200,University of Vermont,United States of America,HI,Public,3.7,701+,6.8,701+,39.8,509,23.0,669,8.8,801+,3.8,801+,66.2,607,52.0,663=,-
1186,1001-1200,1001-1200,University of Warmia and Mazury in Olsztyn,Poland,HI,Public,10.8,701+,14.5,701+,42.0,478,7.7,801+,2.6,801+,4.6,801+,42.6,801+,43.7,801+,-
1187,1001-1200,1001-1200,University of Wolverhampton,United Kingdom,HI,Public,3.1,701+,3.7,701+,14.0,801+,14.9,801+,40.8,493,78.9,228,55.7,756,31.0,801+,-
1188,1001-1200,1001-1200,University of Wyoming,United States of America,VH,Public,3.6,701+,2.3,701+,39.4,515,29.6,592,12.6,801+,8.1,801+,52.0,801+,43.4,801+,-
1189,1001-1200,1001-1200,University of Zilina,Slovakia,VH,Public,6.3,701+,7.3,701+,59.5,302,13.9,801+,5.5,801+,12.3,801+,25.6,801+,36.5,801+,-
1190,1001-1200,1001-1200,Utah State University,United States of America,VH,Public,7.4,701+,4.2,701+,8.6,801+,32.8,554,1.1,801+,2.7,801+,67.2,584,48.2,751=,-
1191,1001-1200,,Van Lang University,Viet Nam,HI,Private for Profit,31.4,392,10.3,701+,28.9,650,2.3,801+,10.6,801+,1.3,801+,45.3,801+,,,-
1192,1001-1200,1001-1200,Warsaw University of Life Sciences,Poland,VH,Public,8.0,701+,7.9,701+,23.1,773,14.6,801+,2.4,801+,11.9,801+,67.5,576,42.6,801+,-
1193,1001-1200,1001-1200,West Virginia University,United States of America,VH,Public,6.4,701+,7.5,701+,15.0,801+,28.4,603,8.3,801+,8.8,801+,66.9,591,44.6,801+,-
1194,1001-1200,1001-1200,William & Mary,United States of America,VH,Public,10.0,701+,14.9,701+,26.4,708,16.2,779,6.0,801+,9.0,801+,37.9,801+,44.4,801+,-
1195,1001-1200,1001-1200,Xi'an Jiaotong-Liverpool University,China (Mainland),HI,Private not for Profit,5.9,701+,5.4,701+,8.1,801+,12.0,801+,95.2,177,5.2,801+,45.9,801+,44.0,801+,-
1196,1001-1200,901-950,Yerevan State University,Armenia,HI,Public,8.7,701+,6.0,701+,64.8,271,1.9,801+,8.7,801+,3.0,801+,21.2,801+,13.3,801+,-
1197,1001-1200,901-950,Yokohama City University,Japan,VH,Public,3.3,701+,3.7,701+,96.7,64,19.0,730,7.2,801+,6.0,801+,15.0,801+,14.5,801+,-
1198,1001-1200,1001-1200,Yokohama National University,Japan,VH,Public,11.6,701+,24.5,548,22.9,777,11.3,801+,17.2,762,12.5,801+,28.1,801+,41.2,801+,-
1199,1001-1200,1201-1400,Yuan Ze University,Taiwan,VH,Private for Profit,8.6,701+,9.7,701+,13.7,801+,19.7,716,22.2,684,23.0,689,38.9,801+,42.9,801+,-
1200,1201-1400,,ADA University,Azerbaijan,LO,Public,8.4,701+,22.4,595,62.3,286,1.3,801+,20.2,710,7.7,801+,5.2,801+,,,-
1201,1201-1400,,"Ahmadu Bello University, Zaria",Nigeria,HI,,6.3,701+,9.4,701+,10.0,801+,2.2,801+,2.0,801+,1.4,801+,44.1,801+,28.0,801+,-
1202,1201-1400,,Al Zaytoonah University,Jordan,HI,Private not for Profit,5.9,701+,7.7,701+,4.9,801+,8.1,801+,26.9,628,52.4,394,16.8,801+,14.1,801+,-
1203,1201-1400,1201-1400,Al-Balqa Applied University,Jordan,HI,Public,10.2,701+,15.4,701+,6.0,801+,5.8,801+,15.2,801+,5.2,801+,46.0,801+,41.8,801+,-
1204,1201-1400,,Amman Arab University,Jordan,VH,Private not for Profit,8.4,701+,6.0,701+,13.0,801+,16.0,783,10.6,801+,58.6,349,12.2,801+,8.9,801+,-
1205,1201-1400,,Ashoka University,India,VH,Private for Profit,10.1,701+,7.2,701+,28.4,672,6.2,801+,20.5,702,7.5,801+,3.4,801+,26.3,801+,-
1206,1201-1400,1201-1400,Ataturk University,Türkiye,VH,Public,8.1,701+,2.9,701+,4.1,801+,9.7,801+,4.7,801+,20.7,715,49.3,801+,34.6,801+,-
1207,1201-1400,1201-1400,Bahauddin Zakariya University,Pakistan,VH,Public,8.5,701+,7.8,701+,4.1,801+,30.3,584,,,1.0,801+,50.8,801+,25.7,801+,-
1208,1201-1400,1201-1400,Beijing Foreign Studies University,China (Mainland),VH,Public,8.4,701+,7.8,701+,42.6,470,2.5,801+,25.4,646,48.4,418,4.4,801+,10.0,801+,-
1209,1201-1400,1201-1400,Beijing University of Chinese Medicine,China (Mainland),VH,Public,5.7,701+,6.4,701+,44.2,448,14.7,801+,,,13.3,801+,7.6,801+,8.4,801+,-
1210,1201-1400,1201-1400,Benemérita Universidad Autónoma de Puebla,Mexico,HI,Public,19.9,616,8.0,701+,2.4,801+,2.9,801+,3.6,801+,1.7,801+,29.1,801+,28.9,801+,-
1211,1201-1400,,Beni-Suef University,Egypt,HI,Public,8.7,701+,4.1,701+,2.1,801+,11.1,801+,13.7,801+,1.6,801+,51.5,801+,39.8,801+,-
1212,1201-1400,1201-1400,Birzeit university,Palestine,HI,Private not for Profit,12.5,701+,8.5,701+,6.7,801+,5.1,801+,17.9,748,7.4,801+,20.0,801+,12.3,801+,-
1213,1201-1400,1001-1200,BRAC University,Bangladesh,HI,Private not for Profit,14.9,701+,33.4,429,11.6,801+,3.6,801+,1.7,801+,1.8,801+,30.4,801+,30.0,801+,-
1214,1201-1400,1201-1400,British University in Egypt,Egypt,VH,Private for Profit,8.4,701+,10.8,701+,36.7,549,4.6,801+,1.8,801+,6.1,801+,18.4,801+,20.6,801+,-
1215,1201-1400,1201-1400,Brock University,Canada,HI,Public,6.7,701+,10.9,701+,4.7,801+,16.6,772,4.2,801+,27.5,621,29.2,801+,41.5,801+,-
1216,1201-1400,1401+,California Polytechnic State University,United States of America,HI,Public,5.6,701+,20.0,655,9.4,801+,4.9,801+,,,,,43.6,801+,32.8,801+,-
1217,1201-1400,,Can Tho University,Viet Nam,HI,Public,10.2,701+,6.2,701+,3.1,801+,4.6,801+,65.2,357,1.0,801+,36.8,801+,39.7,801+,-
1218,1201-1400,1001-1200,Canterbury Christ Church University,United Kingdom,MD,Public,6.8,701+,4.7,701+,5.3,801+,6.8,801+,41.5,487,60.4,340,21.9,801+,21.7,801+,-
1219,1201-1400,1001-1200,Chang Jung Christian University,Taiwan,HI,Private not for Profit,8.5,701+,4.9,701+,57.0,323,2.6,801+,8.2,801+,9.3,801+,6.0,801+,34.9,801+,-
1220,1201-1400,1201-1400,China University of Political Science and Law,China (Mainland),MD,Public,3.5,701+,62.2,181,11.1,801+,1.5,801+,5.0,801+,2.2,801+,7.9,801+,10.2,801+,-
1221,1201-1400,1201-1400,Chitkara University,India,VH,Private not for Profit,10.0,701+,10.9,701+,18.2,801+,5.4,801+,13.1,801+,5.4,801+,44.0,801+,47.4,776=,-
1222,1201-1400,1201-1400,Cukurova University,Türkiye,HI,Public,6.7,701+,6.1,701+,8.6,801+,4.9,801+,2.5,801+,6.5,801+,56.0,749,42.3,801+,-
1223,1201-1400,1201-1400,Damascus University,Syrian Arab Republic,MD,Public,8.0,701+,6.4,701+,1.7,801+,1.5,801+,5.4,801+,11.2,801+,23.2,801+,32.0,801+,-
1224,1201-1400,,Delta University for Science & Technology,Egypt,HI,Private not for Profit,26.2,483,8.8,701+,5.7,801+,5.1,801+,8.5,801+,2.4,801+,14.0,801+,33.1,801+,-
1225,1201-1400,1201-1400,Dokuz Eylül Üniversitesi,Türkiye,HI,Public,9.5,701+,13.8,701+,5.9,801+,3.5,801+,2.7,801+,19.4,738,51.6,801+,56.8,560=,-
1226,1201-1400,1201-1400,Doshisha University,Japan,HI,Private not for Profit,11.1,701+,16.2,701+,7.0,801+,2.5,801+,22.1,685,6.3,801+,18.7,801+,22.1,801+,-
1227,1201-1400,1201-1400,Erciyes Üniversitesi,Türkiye,HI,Public,6.8,701+,4.5,701+,3.7,801+,11.5,801+,9.9,801+,14.7,801+,53.1,794,52.3,656=,-
1228,1201-1400,1201-1400,Feng Chia University,Taiwan,VH,Private for Profit,12.3,701+,11.8,701+,6.4,801+,11.7,801+,5.6,801+,6.8,801+,10.1,801+,53.9,624=,-
1229,1201-1400,1201-1400,Fu Jen Catholic University,Taiwan,HI,Private not for Profit,10.6,701+,10.8,701+,4.5,801+,14.9,801+,13.2,801+,8.1,801+,9.3,801+,44.5,801+,-
1230,1201-1400,,Galgotias University,India,HI,Private not for Profit,16.6,701+,4.6,701+,36.2,553,3.2,801+,21.1,696,15.0,801+,16.9,801+,,,-
1231,1201-1400,1201-1400,German university in Cairo,Egypt,HI,Private not for Profit,11.6,701+,21.3,617,9.8,801+,3.3,801+,17.8,750,1.4,801+,20.4,801+,9.5,801+,-
1232,1201-1400,1001-1200,Gunma University,Japan,VH,Public,3.8,701+,2.8,701+,89.8,104,9.0,801+,5.5,801+,5.2,801+,10.5,801+,15.4,801+,-
1233,1201-1400,1201-1400,Hanoi University of Science and Technology,Viet Nam,VH,Public,12.3,701+,15.9,701+,3.3,801+,10.0,801+,5.7,801+,1.5,801+,23.3,801+,51.3,677=,-
1234,1201-1400,1201-1400,Helwan University,Egypt,HI,Public,11.0,701+,15.0,701+,4.9,801+,2.6,801+,1.2,801+,3.4,801+,63.6,642,36.1,801+,-
1235,1201-1400,,Industrial University of Ho Chi Minh City,Viet Nam,HI,Public,22.6,554,15.2,701+,5.2,801+,5.0,801+,1.5,801+,2.8,801+,13.1,801+,19.5,801+,-
1236,1201-1400,,Institut Teknologi Nasional Bandung (ITENAS Bandung),Indonesia,LO,Private not for Profit,22.4,562,5.0,701+,13.2,801+,1.5,801+,3.1,801+,1.3,801+,3.4,801+,26.9,801+,-
1237,1201-1400,1201-1400,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,MD,Public,1.9,701+,6.3,701+,36.2,554,2.0,801+,22.9,674,5.2,801+,7.3,801+,17.6,801+,-
1238,1201-1400,1001-1200,International Christian University,Japan,HI,Private for Profit,6.3,701+,14.8,701+,21.5,801+,1.9,801+,83.2,269,15.8,800,6.0,801+,15.5,801+,-
